EPA Region,State,# of Majors in ICIS-NPDES,# of Non-Majors in ICIS-NPDES,# of Majors w/ Pollutant Loadings,# of Non-Majors w/ Pollutant Loadings,% of Majors w/ Pollutant Loadings,% of Non-Majors w/ Pollutant Loadings,Total Pollutant Pounds (lb/yr) for Majors,Total Pollutant Pounds (lb/yr) for Non-Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Non-Majors
4,ALABAMA,183,1500,183,919,100,61.26666667,940629361.2,734060656.8,456887.3848,597273.8978
10,ALASKA,44,35,35,20,79.54545455,57.14285714,128261268.9,13926807.94,39327.0165,255.4100293
9,AMERICAN SAMOA,4,2,4,1,100,50,3373488.687,0,242.175426,0
9,ARIZONA,79,126,71,109,89.87341772,86.50793651,1.08038E+11,436454401,314184.1282,406413.7803
6,ARKANSAS,118,712,117,707,99.15254237,99.29775281,490889152.7,51507738.34,240535.4692,18301.18318
9,CALIFORNIA,264,331,237,247,89.77272727,74.6223565,3408075995,2586277.786,47141885276,3215.443083
8,COLORADO,128,455,122,248,95.3125,54.50549451,441683742.7,120263001.8,83518.97345,34720.63362
1,CONNECTICUT,96,80,96,77,100,96.25,35967503.23,79571115.59,461195.1358,16980.65141
3,DELAWARE,17,36,16,32,94.11764706,88.88888889,125145751,320469.378,308872.4075,2445.596415
3,DISTRICT OF COLUMBIA,4,7,4,5,100,71.42857143,17834221.61,64247.35642,56703.36536,128.7201339
4,FLORIDA,294,314,193,266,65.6462585,84.7133758,9100075824,2691545856,1053185.356,377102.5634
4,GEORGIA,205,780,200,520,97.56097561,66.66666667,196528979.7,21451850.87,82571216032,12832.20338
9,GUAM,5,13,5,12,100,92.30769231,6598445.753,1259867.147,11961.91523,35.09243051
6,GULF OF MEXICO,,3,,2,,66.66666667,,0,,0
4,GULF OF MEXICO EAST,,1,,0,,0,,,,
9,HAWAII,19,118,17,34,89.47368421,28.81355932,54657457.73,48391541.12,72329.12889,2626.908548
10,IDAHO,38,140,37,122,97.36842105,87.14285714,55439300.13,4203745.716,78179.27417,4269.732619
5,ILLINOIS,274,1355,274,1249,100,92.17712177,1392169113,9037617899,2922151.773,510718.8489
5,INDIANA,195,1344,193,1321,98.97435897,98.28869048,2251148104,100099250.4,587441.5437,58809.97323
7,IOWA,142,1441,132,1033,92.95774648,71.68632894,11473879.65,48459264.23,42854.56356,2413.331607
7,KANSAS,55,1532,55,500,100,32.63707572,200200483,74587200.3,4149258.55,5463.216958
4,KENTUCKY,142,1677,140,1563,98.5915493,93.20214669,391906042.9,587812279.6,823619.0993,1352493.786
6,LOUISIANA,240,1264,234,502,97.5,39.71518987,2489917975,12022123.58,968068.3632,135370.9002
1,MAINE,76,376,72,214,94.73684211,56.91489362,88308542.04,6882026.826,21124.38106,687506.0326
9,MARIANA ISLANDS,2,4,2,3,100,75,626410.9887,55621403.82,341.7214139,0.052279117
3,MARYLAND,97,873,83,473,85.56701031,54.18098511,126698786.1,137462271.8,432835.6617,47671.28107
1,MASSACHUSETTS,123,139,118,122,95.93495935,87.76978417,144394368.8,132104106.4,558277.0829,140912.745
5,MICHIGAN,189,514,183,438,96.82539683,85.21400778,987221119.9,91935213.69,1483244.235,336340.3857
5,MINNESOTA,104,657,99,222,95.19230769,33.78995434,846723365.8,4982883.444,2821144.441,760.9800641
4,MISSISSIPPI,96,1287,96,1219,100,94.71639472,57483009.82,1020405907,61053.9638,24282.3279
7,MISSOURI,179,3019,176,2582,98.32402235,85.52500828,354045917.1,5838049035,7381370.28,46789152.23
8,MONTANA,33,169,32,161,96.96969697,95.26627219,162714454.1,90761614.33,20791.3061,32211.80779
7,NEBRASKA,54,695,54,601,100,86.47482014,90048815.24,1413624036,530380.8987,25469.2028
9,NEVADA,14,114,11,61,78.57142857,53.50877193,589599026.5,0,6989.385591,0
1,NEW HAMPSHIRE,49,38,48,36,97.95918367,94.73684211,17765370.61,1673042.487,34680.17481,1179.943814
2,NEW JERSEY,138,75,138,57,100,76,327214378.4,54302.23031,257594.1655,32.78712334
