EPA Region,State,# of Majors in ICIS-NPDES,# of Non-Majors in ICIS-NPDES,# of Majors w/ Pollutant Loadings,# of Non-Majors w/ Pollutant Loadings,% of Majors w/ Pollutant Loadings,% of Non-Majors w/ Pollutant Loadings,Total Pollutant Pounds (lb/yr) for Majors,Total Pollutant Pounds (lb/yr) for Non-Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Non-Majors
4,ALABAMA,183,1498,183,933,100,62.28304406,1637062243,1238860760,633944.1198,2221426.403
10,ALASKA,43,38,34,20,79.06976744,52.63157895,99704874.48,28289566.23,47210.18608,340.1639065
9,AMERICAN SAMOA,4,3,4,1,100,33.33333333,3416776.86,0,248.992698,0
9,ARIZONA,73,119,69,101,94.52054795,84.87394958,2.87572E+11,90701859.53,2106715.23,41506.86939
6,ARKANSAS,117,703,116,698,99.14529915,99.28876245,479789183.5,41143597.32,94344.19821,176072.9048
9,CALIFORNIA,266,366,237,247,89.09774436,67.4863388,4003491044,2710955.417,14946612960,1844.350935
8,COLORADO,126,380,120,232,95.23809524,61.05263158,434711511.8,136365911.7,77261.49105,18007.63867
1,CONNECTICUT,97,80,97,75,100,93.75,116186315.4,111985737.4,1205910.68,12607.16824
3,DELAWARE,17,37,16,34,94.11764706,91.89189189,201200781.4,9734520.596,265812.9278,2372.833127
3,DISTRICT OF COLUMBIA,4,7,4,5,100,71.42857143,28973119.51,462285.1284,128427.3093,198.4736375
4,FLORIDA,223,301,191,257,85.65022422,85.3820598,599131538.5,190975502.2,6789396.607,1736908.252
4,GEORGIA,210,798,205,539,97.61904762,67.54385965,218646477.5,27587172.25,4942776.31,11669.09953
9,GUAM,5,14,5,10,100,71.42857143,5107155.632,59657.82593,1480.220619,228.0013056
6,GULF OF MEXICO,,3,,2,,66.66666667,,0,,0
4,GULF OF MEXICO EAST,,1,,0,,0,,,,
9,HAWAII,20,127,18,30,90,23.62204724,1603557772,180324058.2,73430.77814,2026.515148
10,IDAHO,38,144,37,121,97.36842105,84.02777778,55999862.58,2970690.98,38400.42302,4528.834872
5,ILLINOIS,275,1421,274,1277,99.63636364,89.86629134,448138463.9,7584788926,5624149.79,608933.274
5,INDIANA,194,1352,193,1325,99.48453608,98.00295858,1665602906,121485292.9,205637.6467,29706.27422
7,IOWA,142,1368,133,1022,93.66197183,74.70760234,21498168,44859762.04,70991.77649,5053.621833
7,KANSAS,54,1181,54,411,100,34.80101609,214492029.3,60078482.07,136442.3204,1969.430006
4,KENTUCKY,141,1633,139,1514,98.58156028,92.71279853,396873029.4,896357001.8,123607.6989,553522.4229
6,LOUISIANA,242,1319,235,412,97.10743802,31.23578469,3.22609E+13,11317739.18,1413942.291,55852.62043
1,MAINE,76,381,72,222,94.73684211,58.26771654,86658485.59,2907991.184,40233.75237,338844.8909
9,MARIANA ISLANDS,2,2,2,1,100,50,891432.19,209.4143,234.5927722,0
3,MARYLAND,97,873,85,468,87.62886598,53.60824742,50854192.31,158490118.6,621564.5245,513944.137
1,MASSACHUSETTS,123,160,118,134,95.93495935,83.75,267540453.9,29571687.73,24241296.59,29340.04076
5,MICHIGAN,189,615,184,532,97.35449735,86.50406504,910650995.1,131860816.5,4943974.636,239250.6549
5,MINNESOTA,104,670,98,249,94.23076923,37.1641791,664972728.2,4177320.105,2388633.475,51.1265499
